"Date";"Time";"Channel[1]
Real";"Channel[2]
Real";"Channel[3]
Real";"Channel[4]
Real";"Channel[5]
Real";"Channel[6]
Real";"Channel[7]
Real";"Channel[8]
Real";"Channel[9]
Real";"Channel[10]
Real";"Channel[11]
Real";"Channel[12]
Real";"Channel[13]
Real";"Channel[14]
Real";"Channel[15]
Real";"Channel[16]
Real"
"/22/02/2022/";":10:29:05:";"+     7";"+     7";"-   989";"+   946";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:10:";"+     7";"+     7";"-   989";"+   944";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:15:";"+     7";"+     7";"-   989";"+   945";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:20:";"+     7";"+     7";"-   989";"+   943";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:25:";"+     7";"+     7";"-   989";"+   940";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:32:";"+     7";"+     7";"-   989";"+   943";"-  2683";"-   822";"-  2194";"0";"+     3";"+     3";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:37:";"+     7";"+     7";"-   989";"+   942";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:42:";"+     7";"+     7";"-   989";"+   944";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:47:";"+     7";"+     7";"-   989";"+   945";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:52:";"+     7";"+     7";"-   989";"+   944";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":10:29:57:";"+     7";"+     7";"-   989";"+   943";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
