"Date";"Time";"Channel[1]
Real";"Channel[2]
Real";"Channel[3]
Real";"Channel[4]
Real";"Channel[5]
Real";"Channel[6]
Real";"Channel[7]
Real";"Channel[8]
Real";"Channel[9]
Real";"Channel[10]
Real";"Channel[11]
Real";"Channel[12]
Real";"Channel[13]
Real";"Channel[14]
Real";"Channel[15]
Real";"Channel[16]
Real"
"/22/02/2022/";":11:10:22:";"+     7";"+     7";"-   989";"+   941";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:23:";"+     7";"+     7";"-   989";"+   941";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:24:";"+     7";"+     7";"-   989";"+   941";"-  2682";"-   822";"-  2194";"0";"+     3";"+     3";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:25:";"+     7";"+     7";"-   989";"+   940";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:26:";"+     7";"+     7";"-   989";"+   938";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:27:";"+     7";"+     7";"-   989";"+   938";"-  2682";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:28:";"+     7";"+     7";"-   989";"+   940";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:29:";"+     7";"+     7";"-   989";"+   941";"-  2682";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:30:";"+     7";"+     7";"-   989";"+   940";"-  2682";"-   822";"-  2194";"0";"+     3";"+     3";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:31:";"+     7";"+     7";"-   989";"+   938";"-  2682";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:32:";"+     7";"+     7";"-   989";"+   940";"-  2682";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
"/22/02/2022/";":11:10:33:";"+     7";"+     7";"-   989";"+   942";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";;;;
