"Date";"Time";"Channel[1]
Real";"Channel[2]
Real";"Channel[3]
Real";"Channel[4]
Real";"Channel[5]
Real";"Channel[6]
Real";"Channel[7]
Real";"Channel[8]
Real";"Channel[9]
Real";"Channel[10]
Real";"Channel[11]
Real";"Channel[12]
Real";"Channel[13]
Real";"Channel[14]
Real";"Channel[15]
Real";"Channel[16]
Real"
"/28/01/2022/";":16:19:10:";"+     7";"+     7";"-   989";"+  1174";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:15:";"+     7";"+     7";"-   989";"+  1174";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:20:";"+     7";"+     7";"-   989";"+  1158";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:25:";"+     7";"+     7";"-   989";"+  1173";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:30:";"+     7";"+     7";"-   989";"+  1175";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:35:";"+     7";"+     7";"-   989";"+  1171";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:40:";"+     7";"+     7";"-   989";"+  1173";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:45:";"+     7";"+     7";"-   989";"+  1170";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
"/28/01/2022/";":16:19:50:";"+     7";"+     7";"-   989";"+  1170";"-  2683";"-   822";"-  2194";"0";"+     3";"+     2";"+     3";"-    39";"+777215";"+777215";"+777215";"+777215"
